Local authority,Primary Schools,,,,,,Secondary Schools,,,,,
,Total,With library,No library,FT Librarian,PT Librarian,No librarian,Total,With library,No Library,FT Librarian,PT Librarian,No Librarian
Aberdeen City,47,46,1,0,0,47,13,13,0,10,3,0
Aberdeenshire,151,130,19,2,10,139,17,17,0,15,2,0
Angus,52,50,2,0,0,52,8,8,0,6,2,0
Argyll & Bute,75,44,31,0,0,75,10,5,5,0,0,5
Edinburgh City,88,77,11,0,0,88,23,23,0,20,0,3
Clackmannanshire,18,7,11,0,0,18,3,3,0,0,3,0
Dumfries & Galloway,100,59,41,0,0,100,16,16,0,0,0,16
Dundee City,35,35,0,0,0,35,8,8,0,8,0,0
East Ayrshire,42,42,0,0,0,42,9,9,0,5,0,4
East Dunbartonshire,35,25,10,0,0,35,8,8,0,8,0,0
East Lothian,35,0,35,0,0,35,6,6,0,6,0,0
East Renfrewshire,22,22,0,0,0,22,7,7,0,0,7,0
Falkirk,50,48,2,0,0,50,8,8,0,1,7,0
Fife,137,137,0,0,0,137,18,18,0,12,2,4
Glasgow City,139,0,139,0,0,139,37,29,8,1,28,8
Highland,173,3,170,0,3,170,29,25,4,5,23,4
Inverclyde,20,0,20,0,0,20,6,6,0,5,1,0
Midlothian,x,x,x,x,x,x,x,x,x,x,x,x
Moray,46,0,46,0,0,46,8,8,0,8,2,0
North Ayrshire,50,50,0,0,0,50,9,9,0,9,0,0
North Lanarkshire,121,0,121,0,0,121,23,23,0,23,0,0
Orkney,20,0,20,0,0,20,2,2,0,2,0,0
Perth & Kinross,69,58,11,0,0,69,11,11,0,9,2,0
Renfrewshire,49,49,0,0,0,49,11,11,0,0,11,0
Scottish Borders,61,0,61,0,0,61,9,9,0,2,7,0
Shetland,28,28,0,0,6,22,7,7,0,3,4,0
South Ayrshire,41,41,0,0,0,41,8,8,0,0,8,0
South Lanarkshire,123,?,?,0,0,123,17,17,0,1,16,0
Stirling,40,36,4,0,0,40,7,6,1,2,2,2
West Dunbartonshire,35,23,12,0,0,35,5,5,0,0,5,0
West Lothian,67,67,0,0,0,67,11,11,0,5,5,1
Western Isles,x,x,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,,
Totals:,1969,1077,767,2,19,1948,354,336,18,166,140,47
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: freedom of information responses from Scottish local authorities.,,,,,,,,,,,,
,,,,,,,,,,,,
"Councils were asked to specify the number of schools under their control, the number of these schools with a library, and the number served by both full-time and part-time librarians.",,,,,,,,,,,,
"Two councils failed to respond to the request. South Lanarkshire council did not provide a specific figure for primary school libraries, instead saying that ""many primary schools have a 'library area'"". ",,,,,,,,,,,,
"In some areas, such as Glasgow and Perth and Kinross, arms length organisations are responsible for library services in some or all secondary schools. In some cases school librarian services are covered by a mixture of 'full-time equivalent' staff.",,,,,,,,,,,,
